tweets,polarity
Got a surface book today for being an intern. Now to do drugs on it smh no no drugs they're bad for you smh yeah,negative
"""I'm starting to like math and that worries me""
- Gina smh",negative
@FrankJavCee can u be my frand plus?,negative
@ThisNewBand Paid?,negative
"Maybe now I'll be able to finish in time to make a client app that uses my code, and then present it to the higher ups",negative
"The solution was so simple, and it's not even a solution it's a workaround, ugh",negative
"I finally got my shit working, and all it took was a week and today, holy shit I'm pissed off",negative
.@AsicFox https://t.co/CdTPux1zbF,positive
Great times when you at Denny's waiting for your food and @AsicFox is showing you da memes,positive
.@AsicFox tweeting @DennysDiner https://t.co/d4B5w3GTjV,positive
"I have something to offer and I want to share it, and it'd be a waste of time to not continue growing in my career path",positive
"Not that I feel like I'm above those jobs, but I've been working on my skills for a while now and I'd like to put them to use",negative
"I need a part time job for the school year, but I wanna do software things and not something like the service industry or as a receptionist",negative
"But you know what, @AsicFox was the real mvp https://t.co/tRRqmt0238",positive
Can't handle https://t.co/DdL2DUwPFF,positive
@LifeOfDesiigner I was banging hard AF and then it ended wyd man 😢,negative
This song way too fucking short https://t.co/FzRtRE45NV @LifeOfDesiigner,negative
TIMMY TIMMY TIMMY TURNER,negative
Windows 10,positive
Open source software is a cancer to technology,positive
Linux is v bad,negative
@cakeslap I typed a powershell commandlet into my Linux server and after the fact I realized what that meant and I started crying,negative
@cakeslap i thought you were talking about the http code and I was confused as hell true story ama,negative
@cakeslap deleted 3 class files in my Microsoft project that were just one big block comment,negative
"I'd never done something even remotely similar, it's what got me doing more shit and it pointed me in the right direction",negative
"I learned so much from the project though, I'll I'm thinking now are ways to improve the whole thing",negative
Looking through old ass code from freshman year from while I was learning Python and it was the most disgusting shit I've ever seen,negative
GOAT https://t.co/OmRb5KwIsF,positive
Can't wait to become a real adult https://t.co/V2KKWlQOk3,positive
I'm dying  https://t.co/QbbViqs4lW,negative
Gina says no https://t.co/bcfYCCmrho,positive
Check this gif https://t.co/jmk5ibToqi,positive
I cm tweet whatever I want https://t.co/UlLZ2NRPLX,positive
Does anyone else seriously enjoy oxygen? For srs,positive
I was just informed that RHCP has more than 4 songs https://t.co/EcwGjOTLWZ,positive
@soleilcool o,negative
😐 https://t.co/cBRV5NLFt3,positive
.@TheWilsonWilson the moment of truth ladies and gentlemen https://t.co/rfgXuYE5zV,positive
@TheWilsonWilson I'm ready,positive
Bored at work send me pictures of anything,negative
There have been more visits to the moon than instances where I've spoken to my manager,negative
I just can't listen to anything too lit,negative
I'm listening to Young Thug in the office and nothing is getting done because I'm jamming too hard,negative
@soleilcool I'm dying,negative
@RobyOrToby how many of us,positive
A friend of mine killed me with this picture today https://t.co/tnBYhXl7bE,negative
"""You know, in China, they call Chinese food 'food'""
- @AsicFox",positive
@Sadieisonfire I'm a goth girl in Seattle,positive
Hey y'all here's @MetroBoomin brushing his teeth kthx https://t.co/0BbKR89x03,positive
Tweet.,positive
"Received my PM, my manager, and my mentor's blessing to become a PM 😭😭😭 I'm so happy",positive
@Its_Beccaw 😱😱😱,negative
The guy in the office next to me is humming the vaporwave anthem wyd,positive
Deploying a Windows VM on Azure to test my code bc my work computer is all sorts of fucked,negative
Caught a Rattata in the restroom at work #PokemonGO https://t.co/idnofRTtE1,positive
Literally all of my feed is Pokemon related tweets smh,positive
@BMX109 &gt; indie rock album,positive
@kaitlinwetz I'll cry if you do,positive
"""Go shit in your shoes""",negative
g o d https://t.co/Hh4OXsgtEE,positive
@Sadieisonfire visit me pls,negative
@kaitlinwetz DO IT,negative
@dannyBstyle closure in Moscow?,positive
Test tweet please ignore,negative
@drip133 I face swapped with a Jesus candle https://t.co/YVAR63o44h,positive
@drip133 art installation in redmond https://t.co/VfUegUXw9G,positive
@drip133 Westboro baptist church at the pride parade https://t.co/6TNDbiXogP,negative
@drip133 downtown seattle https://t.co/G82sTM6fOb,positive
@drip133 https://t.co/nS9p4KgbA3,positive
@drip133 https://t.co/39KqYK4NtI,positive
"☀️🍉🎨 @ Redmond, Washington https://t.co/dUq5wj7A7H",positive
@AsicFox and u white,negative
😢 https://t.co/KZDYwGqZut,positive
We spotted a @tim_cook at Microsoft @AsicFox 🌚🌞🌚👍,negative
.@RachaelRodgers5  https://t.co/QNiGgXaKNv,positive
saving this pic quick https://t.co/wkxVZo6X3r,positive
Carnage was incredible  https://t.co/VkRskAyNSv,positive
"""How old were you when you found out you were sexually attracted to @Steven_Ballmer ?"" - @AsicFox",negative
Listening to my discover weekly playlist is always a joy,negative
Finished the busy work I've had to do. Next is the coding part 🙌🙌🙌,negative
Look at this fire ass snapchat I got https://t.co/pglEQa0wyk,negative
@BMX109 I do it all the time,negative
"Me: ""hey man I've got a question about this code""
Other dude: ""yeah it's pretty terrible code""
😐",negative
@Its_Beccaw 💩,negative
"Everything about it so far has been wonderful, even async stuff has been a joy",negative
"C# is such a nice language, I'm so excited for it to be fully cross-platform",positive
"Wow, I just learned about C# extension methods. This is so cool",positive
Other interns made a rap playlist but it's getting me too lit to do work,negative
Don't Tread On Us #HelloPride @ Seattle Pride https://t.co/IpkHNnXAoA,positive
Fuck the haters #HelloPride @ Seattle Pride Parade https://t.co/lPQQFm08V7,positive
@AsicFox this was sad that was a sad video,negative
I'm using emoji in my excel spreadsheet at work fwm,negative
My driver is playing the radio on his phone like bruh the real radio works wyd,negative
The same person has been emailing me about a role that I am definitely not qualified for. Should I interview anyways too see how I do?,negative
"Me: ""I like memes, memes are good.""
Rest of my team at the table furiously nodding yes",negative
@_Petty_Wap_ mhm,negative
@_Petty_Wap_ tears,negative
.@_Petty_Wap_  https://t.co/pLXzKYUX5U,positive
Boy u laughing at my struggles huh? https://t.co/8MpLHTYtPQ,negative
I wasn't even trying to go to home base I just wanted to snuggle n that's what she said she wanted to do wtf is happening,negative
"tfw she said ""come here to bed w/ me"" and then she pretended like she didn't 🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃",negative
In other news my github profile shows I contribute to Microsoft code so that's cool. That way recruiters don't have to ask what I did.,negative
You're not doing your cs internship right unless you feel like you've been wasting time the entire time you're there,negative
"If you haven't added me on snapchat here you go, make your life less shitty https://t.co/tca0A8I8kE",positive
@kaitlinwetz Good! I'm glad!,positive
"""... After you, hell should be easy...""",negative
My favorite meal of the day is tied between 'breakfast' and 'taco bell',negative
@ayeraybae sometimes I think I am then I realize everyone else has been throwing up while I'm still going strong it's awesome,negative
Lorde needs to make more music bc I need some new shit for when I cry in the shower,negative
All my friends are heathens take it slow,negative
@_Petty_Wap_ aren't we all,positive
@_Petty_Wap_ you shoulda started a while ago,negative
one of those unexpected 'ok' nights,positive
@Its_Beccaw may actually have to join you on this it sounds really funny,positive
@RachaelRodgers5 you're like my Abuela,positive
Yeah man I pay dat shit it's good yeah man thug AF  https://t.co/syTnndhn8a,positive
Kanye West taught me swaghili,negative
"Homeboy is a fucking hero, he's my mr miyagi",negative
"""Less code, less bugs""

- Based Klein",positive
@mashable #MashSnapDoodle https://t.co/9b4nPOuqi8,positive
So St. Pablo tickets are $350 for GA. And I only go GA. But I think for that price I'd rather buy yeezy's,negative
"""If Bernie died I would call him a quitter"" - @asicfox",positive
"Business casual in the front

Casual Friday from behind",positive
"The hat, not my coworker",negative
"My coworker is wearing an ""Occupy Mars"" SpaceX hat and it makes me so happy",positive
Had lunch with a cute chick and didn't vomit all over myself. I think that's a job well done 👌,negative
When you take a snapchat in the restroom but you hear the snap sound go off bc you forgot to silence your phone https://t.co/qPrNEL5WDZ,negative
"@FrankJavCee jet fuel can't melt steel beams
Jet fuel can't melt steel memes
Memes
This won't work because trump is a meme",negative
Tryna buy Kanye tickets but they're on pre sale for people with Amex cards. I need a friend with one of those 😫,negative
Nice  https://t.co/el3GfOrJ3v,positive
You can also quote yourself,positive
Apparently you can retweet yourself now,positive
Buying a wii u just for Zelda that trailer gave me chills,negative
Meanwhile I'm wearing gap pants like fam ain't tryna ruin these today,negative
This dude just walked out with this fresh ass north face jacket like he's prepared and flexing hard,negative
May have to run through rain to get home 😖,negative
Wrote a recap of this mornings progress because yesterday I forgot things after lunch and I had to figure them out again 😑,negative
@JODYHiGHROLLER WiTH OPRA,positive
I want to appreciate life more,positive
.@MDZingo we're going https://t.co/dvUnoO9gtf,positive
That way you don't have to go look up where the hell a property or function is coming from because that's annoying as hell,negative
"Visual Studio hates explicit ""this"", why is that? Apparently it's because it's ""redundant"" but I like that because it's more expressive imo",negative
"@SPNKr there are at Microsoft headquarters, can confirm",negative
Something tells me that battlefield 1 may have something to do with shooting people with guns until they die @CaseyNewton,positive
".@CaseyNewton ""these cars are on a race to connect on LinkedIn"" I'm dying",negative
"@Yuudi_yuudi7 depends on the state, in Texas you don't need a license",negative
i want to make beautiful things,positive
(it wasnt that bad i actually it but thats not funny and id rather make an ass of myself),negative
it was 2 miles smh,negative
wow i walked to the grocery store and bought shit and had to walk back is this what people in 3rd world countries live through wow it sucks,negative
"@AsicFox hey man, that's why we gotta keep being badass and kicking ass",negative
@AsicFox truly,negative
@AsicFox I feel that hard man,negative
@AsicFox :(,negative
@TheWilsonWilson https://t.co/7sLzCmwwnz it was essentially this but slower,negative
@NutFather fresh,positive
"Yeah I'm elegant
For the hell of it",negative
@MajinDookie coo ill add u fam,negative
@MajinDookie hey let's be friends u got myspace?,positive
8:03 pm this is my first meal of the day I should not be alive,negative
How do you come up with his I feel like you have to google random shit for a while to find a pic to compare with https://t.co/bBdS6N8n8Z,negative
Maybe there is a god,negative
THE FUCKING THAI PLACE IS PLAYING A SMOOTH JAZZ VERSION OF IMMORTALS BY FALL OUT BOY THIS WAS SO WORTH,positive
Hopefully my shit burns and I have an excuse to get new shit,negative
"Tfw my hotel is on fire and the alarm made me leave the restroom. Not dealing with that bullshit, I'm grabbing food instead",negative
@AsicFox uniqlo is bae,negative
@AdrieannaReyes oftentimes it's just not that easy,negative
O shit @JoshuaCMusgrove using Twitter,negative
I legit cannot read this note I wrote myself. Good thing I wrote it somewhere else smh https://t.co/0ml7DfF4Z1,positive
"@not_phill come visit Microsoft homie, the people here actually have lives",positive
"Everything still doesn't work but the feeling of superpowers and shit when you get it working is wonderful, and Klein is a homie",negative
"Now that I have work, work's not bad",negative
:( https://t.co/UKZ3aNj4gC,positive
If you write in Japanese on our car it goes faster,positive
@Knewdles oh damn,negative
@Knewdles you need a better keyboard 😕,positive
Uber should make flare guns for people so their drivers can find them easily,negative
Watching my driver drive back and forth  in front of me is peaceful. Maybe he's lost,negative
Ily @DecibelQueen,positive
Or a dope mom car like a Honda Odyssey that shits fly AF tbh,negative
If you work at Microsoft you either drive an electric car or a sporty car or both smh,negative
Tfw you got work to do and you're so ok with that,negative
Oh good I'm ugly crying its 3:40 am only got 1.5 hrs of sleep but you know that's ok I'm fine this is fine,negative
@shlohmo your music is how I manage to wake up in the morning and move my ass to work,negative
Thank you so much @shlohmo for keeping me grounded,positive
And especially don't if your verses sound like you're tryna kiss ass in a creative writing class,negative
You can't rap if you can't flow or even stay to the rhythm smh,positive
When the beat bumps but everything else is wack,negative
"""I don't know how to comfort him, should I send him an affiliate link to purchase tea from Amazon?"" - @AsicFox",negative
If you're riding a tandem bicycle is that carpooling?,positive
Wake up take a trip to paris https://t.co/50rYgfszHB,positive
sus life,positive
I'm getting paid to sit here and think about how sad I am it's awesome,negative
And I wanna make the world a better place. That involves going at it and getting over petty shit.,negative
"But that's fine, I can't let anything bring me down, because I got a lot I want to bring to everyone",negative
And sometimes you just feel so alone when you lose that one person,negative
"Sorry for this y'all, but I felt like I needed to get some of this out there",negative
Fuck feelings,negative
"I've worked way too fucking hard for this, and if feelings are mutual then I guess she'll respect where I'm at and we can be civil about it",negative
"I wish I could take this more lightly but I can't keep getting hurt, and I can't let it screw me over any more",negative
"I feel like reading it would be the best option just for speed and ease, but a handwritten letter is probably a bit more heartfelt",negative
Should I mail a handwritten version of it or should I read it to her over the phone?,positive
I should pierce my nips,negative
"The Garage at Microsoft has a copy of ""The Manga Guide to Calculus"", and of course @AsicFox asks ""do they have this in tentacle hentai?""",positive
Maybe I am being a bitch but that doesn't make any of this ok,negative
"Dragged me back from hell and now you're pushing me in, but for some reason I keep coming back",negative
"@_Petty_Wap_ no, bleach as in the drinking bleach, not the manga",negative
"@_Petty_Wap_ no, why?",negative
@Franciscooo_34 casual,negative
i love randys,positive
"today i downloaded noise for my earholes, i cant remember when the last time i did that was",negative
tom ford,positive
numbers don't lie but I'm v bored,negative
international bring back my phone chord,negative
Don't pop molly I eat raw gourd,negative
i should take dick pics from the top of the space needle just to keep them and say that i have but like not send them to anyone,negative
olive garden breadsticks and like $5 footlongs,positive
this shit pops up in porn too tbh,negative
popsicles are phallic @RachaelRodgers5,positive
watch the bone,negative
watch the scone,negative
watch the phone,negative
fruits are chill too,negative
"we got carrots, eggplants, pickles, cucumbers, chili peppers, and eggplants for chodes",positive
hey y'all what are some vegetables that look phallic naturally pls this is important,negative
@_Petty_Wap_ same tbh,negative
When Logan knows all the words to Pitbull songs,positive
.@AsicFox hmu with those nap pods,positive
Checked into my flight tho,negative
Leaving today but ya boy needs to pack and clean still,negative
@AsicFox wait did you find them?,negative
Chewing gum with my mouth closed bc I need to act like a human,negative
Reevaluating life rn https://t.co/1yRkqMyeyT,positive
Then I need to hire someone to reconstruct mine https://t.co/o6gr3tLK6N,negative
Leaving tomorrow shoulda left last week,negative
"I'm listening to Funeral again y'all, fav this for snapchats of me crying",negative
Chet Faker has a perfect voice,positive
@_Petty_Wap_ @Bobbye_Ovoxo where yo ass was at when I was workin on those projects Where yo ass was at when finaid askin for the long checks,negative
@_Petty_Wap_ I haven't checked final grades from my first semester at SMU,negative
"On Lil Dickey's Snapchat: no running water in his rn, can't flush his poo, so he pours ciroc in the toilet",negative
"@TheWilsonWilson 3.5, bathed in my own tears a while ago",negative
This is my life. Ask me anything.,negative
There was no toilet paper so I took a shower. It's not even 8 am and I've had three showers.,negative
@_Petty_Wap_ ya I get to sit next to him in hell ☺️,negative
@_Petty_Wap_ there are no mornings if you don't sleep 🌞👀😁,negative
@_Petty_Wap_ life is pretty bad in the evenings and afternoons too,negative
Apparently nice things don't last forever and neither does happiness https://t.co/zG4X0UANiL,positive
"I don't wanna seem like I'm sucking chance's dick, but literally every song on this is amazing",negative
🔥🔥🔥🔥💥 https://t.co/rxjIJAp4vh,positive
Chance 3 🔥🔥🔥 https://t.co/CSd1jfnCQU,positive
Holy shit Young Dolph hell yeah,negative
Moved the fuck out love you all see you soon ❤️❤️❤️,positive
Whenever ur rollin on the floor cryin look at this pic and remember that everything will be ok bc bub loves u https://t.co/nw0G1p9Cbt,positive
It was so easy to sleep in Bellevue because the rain was soft on the windows and the beds in the hotel were better than any I've slept on,negative
TBH wanna leave goddamn pls,negative
"My friend and I walk into cane's and he just casually holds a conversation with the cop, despite being absolutely trashed",negative
"""You pour horchata into Cinnamon Toast Crunch. Apple four loco into fruity pebbles."" -riff raff",negative
Made an inspirational photo for all my friends during finals https://t.co/bGBjf3lU5c,positive
"t o m
f o r d",negative
https://t.co/PqLoimIEVP,positive
Views is not good 😞,positive
ferg is killing it,negative
This shit goes hard https://t.co/MN68tFTI3h,negative
suck my ENTIRE asshole,negative
got a php overdose,positive
"""Why don't we cluster our servers using Windows?""",negative
fam i'm just tryna teach my computer to read web articles but my Readability shit is broke :'(,negative
"Another day, another chance to fix things",negative
Wanna learn capoeira tbh,negative
"""Feelings porn""",negative
Favor is awesome y'all,positive
Views from the 6 is gonna be legendary. Pop Style was on another level. Props to 40,positive
@Franciscooo_34 you're a hero,positive
This is a shitty drawing of a regular bed ??? https://t.co/V5JociNP8N,positive
"Just tried soylent for the first time, I thought it was delicious. I could definitely live off of it",positive
LIVE on #Periscope: Hot college babe https://t.co/cnz0fTBpf7,negative
LIVE on #Periscope: Logan being a meme https://t.co/VBXlhlBmOM,positive
Fresh https://t.co/vpF5dU00Ms,positive
@likescats_ dope! I'll go pay a visit to them soon then!,positive
@likescats_ omg thought about getting a cat there too,negative
me irl https://t.co/cZG6pzay6v,negative
@likescats_ the one by church's chicken?,negative
https://t.co/RrhQzaVWXY,positive
@_Petty_Wap_ can you pass the salt?,positive
where's snapchat? https://t.co/eMr2xBqJV0,negative
@_Petty_Wap_ go get me food too pls,negative
@_Petty_Wap_ go to sleep smh,negative
Wanna go to sleep but the problem is I wanna wake up early and I know I won't so I'm just not gonna sleep and nap tomorrow 😶,negative
I wanna start a band with more drummers than Slipknot and crazy percussion parts,negative
I feel trap as shit drinking my cucumber water in a golf cart going to the tennis courts,negative
2 songs in but Slime Season 3 is already fire,negative
"Spilled Powerade over myself while trying to drink it, I'm actually 3 years old",negative
"When life gives you lemons, gently put them in water",positive
@Franciscooo_34 visit me in Seattle,positive
@Franciscooo_34 maruchan n nyquil?,negative
🌊🌊🌊,negative
"""A friend asks me what my Tinder profile pic was and I told him a pic of my dick next to an iPhone 3, soft""",negative
"""You better shut the fuck up before I start crying""",negative
"Sangre⁰Sonando
De rabia naci",negative
Vince Staples is a goddamn hero,positive
.@AsicFox you smell like farts,positive
I made a new friend today https://t.co/LsRUUiyvW1,positive
@wondroushippo inspir,negative
When they ask you to play Panda https://t.co/mcIl6Tatrk,positive
Maybe 24 hrs without sleep ooh let's hope not,negative
Still awake how's it going y'all?,negative
@wondroushippo they have a special place in hell,negative
glad to know i'm not alone :^) https://t.co/vbSmyofreH,positive
THE FUCK IS THIS BULLSHIT https://t.co/3zQsrqVC4Z,negative
"My routine these days:
- wake up
- check kanyes twitter
- maybe go to class
- go back to sleep",negative
Ya boy's roommate is leaving. 2nd time this happens. This time the conditions suck much more though,negative
"@_Petty_Wap_ it's dank as hell dude, so good",negative
@fucktyler @cakeslap wants Taco's,negative
Hey @fucktyler can I steal your skin and wear it as my own?,positive
"ya boy is single now, which means partying can happen",negative
"""I like women like I like my coffee, BIG ASS TITTIES""
Omg",negative
@kaitlinwetz truuu,negative
Kanye's on fire rn y'all,negative
I LOVE YOU TOO https://t.co/vE5Zo4geLa,positive
GLASSES JACKET SHIRT https://t.co/4cfkBYbht5,positive
My grandma sent me a valentines card and I cried,negative
.@AsicFox  https://t.co/nXwX5hvEVC,positive
"@MDZingo like my roommate, except he'll set 12 and won't turn them off 😒",negative
"caroline - ""i dyed my hair red in 8th grade""
jorge - ""how did it look?""
caroline - ""red""
DED",negative
@MDZingo next time it happens call me and we can yell random things in Spanish at each other like we're fighting,positive
@MDZingo I do this all the time,negative
I wanna lay down in some grass and stare at the clouds.,negative
Filet Mignon with my food stamps,negative
emotions,negative
it's like vegetables but it's mac n cheese and not actually vegetables at all,negative
i dream in 808s,negative
looking into outsourcing my code project homework,negative
"""i'm sad""
chill bro das me 99% of the time 🙃",negative
Face reveal (Vine by jimble) https://t.co/P1BdAVHw4Q,positive
santa mierda,negative
"hype for warlord in february, may fly out to see lean live in cali",positive
"""Still yourself woman, this is for science""
Okarin Rintarou",negative
"Oh, also the Fondren clock tower and the upper floors of the catwalk in the main Meadows auditorium",positive
Found the exit and a possible way in. Maybe it's behind the mechanic room under Peyton.,negative
Goal this weekend: find and go to the SMU solarium,negative
"@AdrieannaReyes cool, the readings for that were online, I found them in the library database",positive
"@AdrieannaReyes lol, does it have a lab section too?
If you want my old tests I got those too",negative
"@AdrieannaReyes ah ok, I had Smith-Morris last semester, class is pretty alright!",negative
@AdrieannaReyes is this intro? Who do you have?,positive
@CeciliaEsquive_ ❤️❤️❤️,negative
when you schedule dinner with one of your highschool teachers 6 months from now on the other side of the country,negative
"I love @JODYHiGHROLLER 's inspirational sayings, they're on another level towards self improvement",positive
@BMX109 thank you very much sir!!! It's been a pleasure so far!!!,positive
Crystal Castles is gold y'all,positive
"Rest in piece, Mr. Bowie. You've inspired many generations of creatives and innovators to continue your legacy.",negative
@_Petty_Wap_ GET IT BOIIII,negative
me n squad https://t.co/kLQLTCO6ED,positive
I'm literally only listenin to this because it was on Chappelle Show,negative
WU TANG CLAN AINT NOTHIN TA FUCK WIT,negative
@soleilcool I played with water once. But remember alcohol kills germs,negative
Wu Tang samples are A+,negative
"I wasn't a fan of Facts, nor his songs with Paul McCartney and Rihanna. I think we may be facing the  probability of a shitty Kanye album",negative
SWISH GET HYPE,positive
"SWISH SWISH SWISH SWISH SWISH SWISH SWISH SWISH
@kanyewest",negative
@RachaelRodgers5 failing would be pretty shitty,positive
@CeciliaEsquive_ not particularly tbh,negative
@ceciliaesquive_ wow you’re so deep wow,positive
I'm just not ready for anything,positive
Tomorrow could make or break my future 😊,positive
@tyronerodriguez i forgot xcode had a light theme omg,negative
"""Who here has ever inserted something into their DOM or the DOM of somebody they know?""
""DOM insertion is painful""
I'm dying @steveluscher",negative
Ya boys learning react rn,negative
They opened a coffee goods shop in Oak Cliff y'all I'm so hype omg,negative
I LOVE THIS PICTURE https://t.co/cwtq0ytEbY,positive
@CeciliaEsquive_ can we hang out now pls @ayerayyyy,negative
@_Petty_Wap_ @carsonautri @ayalex97 🙌🙌🙌🙌 never grow up kids pls it's terrible trust me,negative
@soleilcool @carsonautri 🙃🙃🙃,negative
"""If you're going through hell, keep going""
- Winston Churchill",positive
Lol https://t.co/cCGSMbKw1e,positive
"An hour and a half of sleep, I'll take it",negative
"My dumbass has been putting off listening to Carrie &amp; Lowell, this is god tier",positive
"When the paralytic dreams that we all seem to keep 
Drive on engines 'til they weep With future pixels in factories far away",negative
Here's another smooth Latin Jazz tune you can cry to because I did https://t.co/CvFw0L6p2G,positive
@_Petty_Wap_ definitely not crying rn https://t.co/3odQUNo8Xl,negative
@_Petty_Wap_ wus good cuz https://t.co/HZ6hEpM23p,positive
Send me smooth Latin Jazz tunes that I can cry to,negative
I should practice guitar more so I can drop out and busk on the street and maybe become famous at guitar stuff thats a thing right?,negative
I just wanna crawl up in the covers and zone out cmon now,negative
Spotify's tryna get me turnt rn what is this,negative
You start to get use to them https://t.co/LQF50ah9eD,positive
@_Petty_Wap_ because I don't sleep 😊,negative
@_Petty_Wap_ YEAH WE DO,positive
@Groundislava https://t.co/XhudiO7cxc,positive
"Literally the best scene in all of Silicon Valley, just the way he says Taco Bell https://t.co/BiCHdaDtD2",negative
@Groundislava wooooow hes so turnt woooooow,negative
"I wanna get the phrase ""JUST FUCK ME UP FAM"" tattooed across my chest in Times New Roman",negative
@AdrieannaReyes in what field specifically? Because I know a few open positions at a couple of startups here in dallas...,positive
"@_Petty_Wap_ @sahilsheth6 ""YOU THINK THIS IS A GAME?!?! HUH BITCH?!?!""",negative
"@superjew1 @Groundislava ""IT'S YA NIGGA WHISTLE BOY""",negative
